event_id,datetime,display_name,decoded,label_predict,severity,actor,group_count,low_event_ids,technique_code,technique_tactic
HLE-1,2022-01-18T12:37:49.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,http_request: GET /wp-includes/js/tinymce/skins/wordpress/images/zope HTTP/1.1 from: 192.168.115.21 code: 404 user_agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),Exploit Framework User Agent,high,192.168.115.21|172.17.130.196,4,6|7|8|9,attack.t1071.001,attack.command-and-control
HLE-2,2022-01-18T12:38:00.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,http_request: GET / HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1,HTTP Request with Suspicious User Agent,medium,172.17.130.196,3,10|11|12,attack.t1595,attack.reconnaissance
HLE-3,2022-01-18T12:38:04.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpZCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""id""]]",Sysinfo Commands in HTTP Request,high,172.17.130.196,1,13,attack.t1059,attack.execution
HLE-4,2022-01-18T12:38:06.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJuZXRzdGF0IiwgIi10Il0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""netstat"", ""-t""]]",Network Commands in HTTP Request,high,172.17.130.196,1,14,attack.t1059,attack.execution
HLE-5,2022-01-18T12:38:08.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9yZXNvbHYuY29uZiJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/resolv.conf""]]",File Read Commands in HTTP Request,high,172.17.130.196,1,15,attack.t1059,attack.execution
HLE-6,2022-01-18T12:38:09.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJpcCIsICJhZGRyIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ip"", ""addr""]]",Network Commands in HTTP Request,high,172.17.130.196,1,16,attack.t1059,attack.execution
HLE-7,2022-01-18T12:38:11.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJwcyIsICItQSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ps"", ""-A""]]",Process Commands in HTTP Request,high,172.17.130.196,1,17,attack.t1059,attack.execution
HLE-8,2022-01-18T12:38:14.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJsc2JfcmVsZWFzZSIsICItYSJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""lsb_release"", ""-a""]]",Filesystem Commands in HTTP Request,high,172.17.130.196,1,18,attack.t1059,attack.execution
HLE-9,2022-01-18T12:38:16.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9ncm91cCJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/group""]]",Local File Inclusion,high,172.17.130.196,2,19|20,attack.t1003.008,attack.credential-access
HLE-10,2022-01-18T12:38:19.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJkYXRlIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""date""]]",Time-Temporal Information Commands in HTTP Request,high,172.17.130.196,1,21,attack.t1059,attack.execution
